coords,color
"40.368419,-111.979106",yellow
"40.368420,-111.979151",yellow
"40.368421,-111.979195",yellow
"40.368419,-111.979235",yellow
"40.368413,-111.979275",yellow
,green
"40.368409,-111.979311",green
"40.368403,-111.979347",green
"40.368394,-111.979383",green
,orange
"40.368384,-111.979415",orange
"40.368375,-111.979446",orange
"40.368366,-111.979476",orange
"40.368359,-111.979510",orange
"40.368355,-111.979545",orange
"40.368346,-111.979581",orange
"40.368332,-111.979612",orange
"40.368319,-111.979645",orange
,purple
"40.368310,-111.979679",purple
"40.368299,-111.979716",purple
,orange
"40.368289,-111.979750",orange
"40.368285,-111.979788",orange
"40.368284,-111.979823",orange
,green
"40.368286,-111.979858",green
,yellow
"40.368291,-111.979890",yellow
,red
"40.368296,-111.979926",red
"40.368301,-111.979963",red
"40.368310,-111.980002",red
"40.368319,-111.980040",red
"40.368331,-111.980079",red
"40.368344,-111.980115",red
"40.368363,-111.980153",red
"40.368375,-111.980189",red
"40.368385,-111.980222",red
"40.368392,-111.980258",red
"40.368400,-111.980290",red
"40.368409,-111.980322",red
"40.368415,-111.980349",red
"40.368426,-111.980384",red
"40.368438,-111.980421",red
"40.368451,-111.980456",red
"40.368462,-111.980488",red
"40.368472,-111.980520",red
"40.368483,-111.980558",red
"40.368494,-111.980601",red
"40.368505,-111.980638",red
"40.368517,-111.980671",red
"40.368520,-111.980700",red
"40.368526,-111.980732",red
"40.368530,-111.980764",red
,yellow
"40.368535,-111.980796",yellow
"40.368548,-111.980829",yellow
,red
"40.368560,-111.980859",red
"40.368572,-111.980891",red
"40.368585,-111.980924",red
"40.368599,-111.980951",red
"40.368616,-111.980978",red
"40.368630,-111.981008",red
"40.368642,-111.981040",red
"40.368656,-111.981068",red
"40.368676,-111.981093",red
"40.368700,-111.981111",red
"40.368732,-111.981129",red
,green
"40.368756,-111.981142",green
"40.368782,-111.981158",green
"40.368809,-111.981176",green
"40.368834,-111.981197",green
"40.368858,-111.981219",green
,green
"40.368858,-111.981219",green
"40.368875,-111.981240",green
"40.368892,-111.981265",green
,green
"40.368910,-111.981291",green
"40.368924,-111.981319",green
"40.368938,-111.981349",green
"40.368948,-111.981382",green
"40.368954,-111.981416",green
"40.368962,-111.981444",green
"40.368976,-111.981468",green
"40.368991,-111.981493",green
"40.369007,-111.981516",green
,yellow
"40.369026,-111.981541",yellow
"40.369045,-111.981564",yellow
"40.369065,-111.981588",yellow
"40.369084,-111.981610",yellow
"40.369103,-111.981630",yellow
"40.369123,-111.981654",yellow
"40.369150,-111.981673",yellow
"40.369181,-111.981695",yellow
,red
"40.369212,-111.981720",red
"40.369237,-111.981740",red
"40.369261,-111.981759",red
,yellow
"40.369287,-111.981776",yellow
,red
"40.369307,-111.981797",red
,yellow
"40.369332,-111.981817",yellow
"40.369351,-111.981832",yellow
"40.369370,-111.981847",yellow
"40.369392,-111.981862",yellow
"40.369416,-111.981875",yellow
,red
"40.369440,-111.981893",red
,yellow
"40.369465,-111.981913",yellow
"40.369486,-111.981933",yellow
"40.369507,-111.981951",yellow
"40.369528,-111.981970",yellow
"40.369551,-111.981989",yellow
"40.369572,-111.982003",yellow
"40.369594,-111.982019",yellow
"40.369614,-111.982032",yellow
"40.369634,-111.982048",yellow
"40.369655,-111.982062",yellow
"40.369679,-111.982075",yellow
"40.369704,-111.982089",yellow
"40.369729,-111.982100",yellow
,red
"40.369750,-111.982108",red
"40.369770,-111.982111",red
"40.369795,-111.982119",red
"40.369819,-111.982125",red
"40.369847,-111.982134",red
"40.369873,-111.982139",red
"40.369893,-111.982142",red
"40.369903,-111.982141",red
"40.369911,-111.982138",red
"40.369919,-111.982136",red
"40.369932,-111.982142",red
"40.369944,-111.982149",red
"40.369956,-111.982157",red
,yellow
"40.369966,-111.982163",yellow
"40.369978,-111.982170",yellow
"40.369993,-111.982163",yellow
,red
"40.370013,-111.982158",red
"40.370035,-111.982158",red
"40.370061,-111.982160",red
"40.370089,-111.982161",red
"40.370117,-111.982165",red
"40.370149,-111.982164",red
"40.370180,-111.982169",red
"40.370208,-111.982170",red
"40.370231,-111.982173",red
"40.370259,-111.982172",red
"40.370280,-111.982167",red
"40.370301,-111.982165",red
"40.370322,-111.982165",red
"40.370336,-111.982165",red
"40.370341,-111.982161",red
"40.370337,-111.982158",red
"40.370338,-111.982154",red
,green
"40.370339,-111.982150",green
"40.370340,-111.982150",green
"40.370340,-111.982150",green
"40.370340,-111.982149",green
"40.370340,-111.982148",green
,green
"40.370340,-111.982148",green
"40.370340,-111.982148",green
"40.370341,-111.982148",green
,green
"40.370340,-111.982148",green
"40.370340,-111.982147",green
"40.370340,-111.982146",green
"40.370340,-111.982145",green
"40.370340,-111.982145",green
"40.370341,-111.982145",green
"40.370339,-111.982146",green
"40.370328,-111.982147",green
"40.370301,-111.982144",green
"40.370269,-111.982142",green
"40.370238,-111.982138",green
"40.370209,-111.982130",green
"40.370179,-111.982123",green
"40.370149,-111.982124",green
"40.370112,-111.982120",green
"40.370074,-111.982115",green
"40.370046,-111.982112",green
"40.370022,-111.982115",green
"40.369998,-111.982115",green
"40.369975,-111.982118",green
,yellow
"40.369948,-111.982114",yellow
,green
"40.369921,-111.982111",green
"40.369896,-111.982106",green
"40.369870,-111.982104",green
"40.369842,-111.982102",green
"40.369813,-111.982097",green
"40.369785,-111.982091",green
"40.369758,-111.982089",green
"40.369731,-111.982088",green
"40.369705,-111.982079",green
"40.369678,-111.982069",green
,orange
"40.369647,-111.982058",orange
"40.369620,-111.982045",orange
"40.369592,-111.982035",orange
"40.369572,-111.982025",orange
"40.369550,-111.982010",orange
"40.369525,-111.981993",orange
,purple
"40.369502,-111.981972",purple
"40.369480,-111.981951",purple
"40.369458,-111.981935",purple
"40.369437,-111.981918",purple
"40.369413,-111.981901",purple
"40.369390,-111.981884",purple
"40.369368,-111.981868",purple
"40.369345,-111.981849",purple
"40.369325,-111.981829",purple
"40.369304,-111.981811",purple
"40.369283,-111.981790",purple
"40.369261,-111.981768",purple
"40.369240,-111.981748",purple
"40.369218,-111.981731",purple
"40.369193,-111.981711",purple
"40.369168,-111.981690",purple
,orange
"40.369145,-111.981670",orange
,purple
"40.369118,-111.981646",purple
"40.369098,-111.981627",purple
"40.369079,-111.981608",purple
"40.369060,-111.981590",purple
"40.369036,-111.981569",purple
"40.369017,-111.981543",purple
"40.369004,-111.981518",purple
"40.368988,-111.981493",purple
"40.368971,-111.981467",purple
